Weverton Gomes da Costa (autor)
Tempo estipulado: 1900-2026. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"Recommendation of Coffea arabica genotypes by factor analysis","Barbosa, Ivan de Paiva; da Costa, Weverton Gomes; Nascimento, Moyses; Cruz, Cosme Damiao; Baiao de Oliveira, Antonio Carlos","","","","EUPHYTICA","OCT 2019","2019","215","10","","","","","","178","10.1007/s10681-019-2499-x","","","16","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","2","1","2","2","0"
"Genome-enabled prediction through machine learning methods considering different levels of trait complexity","Barbosa, Ivan de Paiva; da Silva, Michele Jorge; da Costa, Weverton Gomes; de Castro Sant'Anna, Isabela; Nascimento, Moyses; Cruz, Cosme Damiao","","","","CROP SCIENCE","MAY 2021","2021","61","3","","","","1890","1902","","10.1002/csc2.20488","","","11","1.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","3","3","0"
"Genomic prediction through machine learning and neural networks for traits with epistasis","Costa, Weverton Gomes da; Celeri, Mauricio de Oliveira; Barbosa, Ivan de Paiva; Silva, Gabi Nunes; Azevedo, Camila Ferreira; Borem, Aluizio; Nascimento, Moyses; Cruz, Cosme Damiao","","","","COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL","2022","2022","20","","","","","5490","5499","","10.1016/j.csbj.2022.09.029","","","10","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0"
"Very Early Biomarkers Screening for Water Deficit Tolerance in Commercial Eucalyptus Clones","Correa, Thais R.; Picoli, Edgard Augusto de T.; Pereira, Washington Luiz; Conde, Samyra A.; Resende, Rafael T.; de Resende, Marcos Deon V.; da Costa, Weverton Gomes; Cruz, Cosme Damiao; Zauza, Edival Angelo V.","","","","AGRONOMY-BASEL","MAR 2023","2023","13","3","","","","","","937","10.3390/agronomy13030937","","","8","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","1","0"
"Body weight prediction in crossbred pigs from digital images using computer vision","da Cunha, Ana Caroline Rodrigues; Antunes, Robson Carlos; da Costa, Weverton Gomes; Reboucas, Geovanne Ferreira; Leite, Carla Daniela Suguimoto; do Carmo, Adriana Santana","","","","LIVESTOCK SCIENCE","APR 2024","2024","282","","","","","","","105433","10.1016/j.livsci.2024.105433","","","7","2.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0"
"Machine learning and statistics to qualify environments through multi-traits in Coffea arabica","da Costa, Weverton Gomes; Barbosa, Ivan de Paiva; de Souza, Jacqueline Enequio; Cruz, Cosme Damiao; Nascimento, Moyses; de Oliveira, Antonio Carlos Baiao","","","","PLOS ONE","JAN 12 2021","2021","16","1","","","","","","e0245298","10.1371/journal.pone.0245298","","","6","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","2","0"
"Multiple-trait model through Bayesian inference applied to flood-irrigated rice (Oryza sativa L)","da Silva Junior, Antonio Carlos; Sant'Anna, Isabela de Castro; Peixoto, Marco Antonio; Torres, Livia Gomes; Silva Siqueira, Michele Jorge; da Costa, Weverton Gomes; Azevedo, Camila Ferreira; Soares, Plinio Cesar; Cruz, Cosme Damiao","","","","EUPHYTICA","SEP 2022","2022","218","9","","","","","","124","10.1007/s10681-022-03077-x","","","5","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0"
"Methods of adaptability and stability applied to the improvement of flooded rice","Silva Junior, A. C.; Canteiro, V. Q.; Santos, I. G.; Costa, W. G.; Silva, G. N.; Cruz, C. D.; Soares, P. C.","","","","GENETICS AND MOLECULAR RESEARCH","AUG 31 2020","2020","19","3","","","","","","gmr18434","10.4238/gmr18434","","","5","0.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0"
"Metabolic, Nutritional and Morphophysiological Behavior of Eucalypt Genotypes Differing in Dieback Resistance in Field When Submitted to PEG-Induced Water Deficit","Caetano-Madeira, Debora Durso; Omena-Garcia, Rebeca Patricia; Elerati, Tamiris Lopes; Lopes, Camila Batista da Silva; Correa, Thais Roseli; de Souza, Genaina Aparecida; Oliveira, Leonardo Araujo; Cruz, Cosme Damiao; Bhering, Leonardo Lopes; Nunes-Nesi, Adriano; da Costa, Weverton Gomes; Picoli, Edgard Augusto de Toledo","","","","AGRONOMY-BASEL","APR 28 2023","2023","13","5","","","","","","1261","10.3390/agronomy13051261","","","4","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0"
"Optimizing drought tolerance in cassava through genomic selection","da Costa, Weverton Gomes; Bandeira e Souza, Massaine; Azevedo, Camila Ferreira; Nascimento, Moyses; Morgante, Carolina Vianna; Borel, Jeronimo Constantino; de Oliveira, Eder Jorge","","","","FRONTIERS IN PLANT SCIENCE","DEC 16 2024","2024","15","","","","","","","1483340","10.3389/fpls.2024.1483340","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1"
"Application of fuzzy logic for adaptability and stability studies in flood-irrigated rice (Oryza sativa)","da Silva, Antonio Carlos, Jr.; da Silva, Michele Jorge; da Costa, Weverton Gomes; de Sousa, Ithalo Coelho; Cruz, Cosme Damiao; Nascimento, Moyses; Soares, Plinio Cesar","","","","PLANT BREEDING","DEC 2021","2021","140","6","","","","1002","1010","","10.1111/pbr.12973","","","3","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0"
"Performance of a breeding program for irrigated rice in Southeast Brazil","Silva Junior, A. C.; Carneiro, V. Q.; Santos, I. G.; Costa, W. G.; Rosado, R. D. S.; Cruz, C. D.; Soares, P. C.","","","","GENETICS AND MOLECULAR RESEARCH","JUL 19 2019","2019","18","3","","","","","","gmr18332","10.4238/gmr18332","","","3","0.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0"
"Genetic diversity and interaction between the maintainers of commercial soybean cultivars using self-organizing maps","da Costa, Weverton Gomes; Valadares, Cristiane Botelho; da Silva Junior, Antonio Carlos; Arcanjo, Edilaine Silva; Ferreira de Almeida, Helaine Claire; Cruz, Cosme Damiao; Carvalho, Ivan Ricardo; Gonzalez da Silva, Jose Antonio; Azevedo, Camila Ferreira; Nascimento, Moyses; Campana Nascimento, Ana Carolina","","","","CROP SCIENCE","NOV 2022","2022","62","6","","","","2233","2245","","10.1002/csc2.20816","","","2","0.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"Quarter century genetic progress in irrigated rice (Oryza sativa) in Southeast Brazil","da Costa, Weverton Gomes; da Silva Junior, Antonio Carlos; Barbosa, Ivan de Paiva; Cruz, Cosme Damiao; Borem, Aluizio; Soares, Plinio Cesar; Goncalves, Raphael de Paula; Torga, Paula Pereira; Conde, Aurinelza Batista Teixeira","","","","PLANT BREEDING","DEC 2021","2021","140","6","","","","990","1001","","10.1111/pbr.12972","","","2","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Dynamics, diversity and experimental precision in final irrigated rice testing: a time meta-analysis","da Costa, Weverton Gomes; de Oliveira, Aluizio Borem; Cruz, Cosme Damiao; Silva Rosado, Renato Domiciano; Soares, Plinio Cesar","","","","CROP BREEDING AND APPLIED BIOTECHNOLOGY","2020","2020","20","4","","","","","","e30032042","10.1590/1984-70332020v20n4a55","","","2","0.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"Multivariate Adaptive Regression Splines Enhance Genomic Prediction of Non-Additive Traits","de Oliveira Celeri, Mauricio; da Costa, Weverton Gomes; Nascimento, Ana Carolina Campana; Azevedo, Camila Ferreira; Cruz, Cosme Damiao; Sagae, Vitor Seiti; Nascimento, Moyses","","","","AGRONOMY-BASEL","OCT 2024","2024","14","10","","","","","","2234","10.3390/agronomy14102234","","","1","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Comparison of supervised machine learning and variable selection methods for body weight prediction of growth pigs using image processing data","Carrara, Eula Regina; Santos Oliveira, Polliany da Costa; de Cassia Miranda Dias, Layla Cristien; da Costa, Weverton Gomes; Conceicao, Aline Rabello; Silva Braga, Pedro Henrique; Chizzotti, Mario Luiz; Veroneze, Renata; Schultz, Erica Beatriz","","","","REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE","2024","2024","53","","","","","","","e20240001","10.37496/rbz5320240001","","","1","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Multi-trait selection and the relationship between sensory analysis and postharvest variables in Coffea arabica","Moreira, Daniele Birck; da Silva, Sabrina Alves; da Costa, Weverton Gomes; Caixeta, Eveline Teixeira; Nascimento, Moyses; God, Pedro Ivo Vieira Good","","","","SCIENTIA AGRICOLA","2025","2025","82","","","","","","","e20250020","10.1590/1678-992X-2025-0020","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rapid detection of bromatological and chemical biomarkers of clones tolerant to eucalyptus physiological disorder","do Nascimento, Denisson Lima; Aguiar, Vinicius Pinto; Jacomini, Franciely Alves; da Costa, Weverton Gomes; Ribeiro, Wellington Souto; Domokos-Szabolcsy, Eva; Kleine, Alaina Anne; Balmant, Kelly M.; Picoli, Edgard Augusto de Toledo; Zauza, Edival Angelo Valverde; Guimaraes, Lucio Mauro da Silva","","","","SOUTH AFRICAN JOURNAL OF BOTANY","DEC 2024","2024","175","","","","","684","695","","10.1016/j.sajb.2024.10.052","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
